y_true,pred_BL1_Static,pred_BL2_Weighted,pred_BL3_Ridge,pred_MLP_Regression,pred_XGB_Regression,pred_LightGBM_Regression,pred_CatBoost_Regression,pred_MLP_Pairwise,pred_XGB_Pairwise,pred_LightGBM_Pairwise,pred_CatBoost_Pairwise
0.9529826143243652,2.4223636164669435,-0.06698312442575506,0.9228995793492796,0.8715063,0.9861623,0.9741490452434352,0.985605269346794,1.5430284,-3.2278817,-3.387402248436237,-0.23948327839501882
0.9420882138645916,3.087539850310103,0.0863503429578241,0.9341469801150846,0.91951424,0.93733245,0.9736282153981837,0.9262658600972361,0.8323416,-2.5502017,-2.863576809191888,-0.02884813080519373
0.8215784522439853,2.486922267691689,-0.05699881350434682,0.9117697635319094,0.8038417,0.94560987,0.9413011688450099,0.9433500021861658,0.47689456,-3.2359421,-3.3975349457947757,-0.5148629629721299
0.967739137233419,3.5900405772265915,0.04731833900686892,0.9904495628033461,0.8417117,1.045211,1.0276514079333823,1.0357448138591592,2.7001796,-2.2345278,-1.495522150703852,1.4308005561496298
1.0124875572824017,3.872970656019248,0.17197297269871925,1.0289055214835945,0.9735274,1.0828452,1.0880705536289208,1.0829059148689897,4.87756,-0.21238084,0.4742667840354274,1.9900708200191837
0.9718977578974926,2.3443014123075256,-0.04587615098620858,0.9111295250339786,0.84538263,0.8827603,0.8818353041372802,0.8821717873238543,0.26474947,-3.1957858,-3.376135575241719,-0.8770168287676655
0.9183882706495388,3.073190688107216,0.08416630388544522,0.9464082591996091,0.8281363,1.0664997,0.9870011327845664,1.0627907011279598,2.3234668,-2.5421412,-2.842585894514988,0.3358621186874872
0.9042947193819848,3.06579189573921,0.08304025247907282,0.9462418288044143,0.8279964,1.0305412,0.9840313773004539,1.035924273204372,2.3153298,-2.5421412,-2.842585894514988,0.2943759158894109
1.1645915457593266,4.242852289418535,0.359664629576345,1.0350141544542475,1.1382941,1.0851291,1.1280487666522498,1.0653085130332718,6.2155223,-0.484183,0.8858490061530291,2.4343244689529793
0.9770128798776384,2.302873808855214,-0.08558570113809011,0.947282890470765,0.8293859,0.990568,0.960258784222961,0.9601894968596666,0.5034296,-3.2278817,-3.387402248436237,-0.3313588459485907
0.985710962070216,2.3176979399876725,-0.05002814169701511,0.9231118766313587,0.8744547,0.9693298,0.9899895261643082,0.9625012317470921,1.4009869,-3.187725,-3.376135575241719,-0.21858566896234058
